Company Name,Link,Description,Location,get connected
Night Shift,https://www.nightshiftdevelopment.com/,"The Night Shift Development team is on a mission to democratize data analytics and build data-driven solutions for users of any technical skill level. Night Shift's flagship product ClearQuery is an augmented data analytics platform that allows non-specialists to quickly, intuitively, and independently generate insights from large amounts of data and specialists to analyze data more quickly and accurately.","McLean,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Night%20Shift&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Avature,https://www.avature.net/,"Pioneer of CRM technology for recruiting, Avature is a highly configurable enterprise SaaS platform for talent acquisition and talent management that drives innovation in the HCM software space. Founded by Dimitri Boylan, Avature empowers the leading-edge HR strategies of over 650 enterprise-level customers, including 110 of the Fortune 500 and 28 of the Forbes Global 100, in more than 164 countries and 32 languages. Avature AI-powered solutions include: - Candidate Relationship Management (CRM) - Applicant Tracking System (ATS) - Careers Sites - Video Interviewing - Campus & Events Management - Employee Referrals - Staffing Agency Management - Retail Recruiting - Diversity & Inclusion - Onboarding - Employee Internal Mobility - Performance Management - Succession Planning - Employee Engagement - Contingent Workforce Management","Delaware  ,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Avature&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Domino Data Lab,https://www.dominodatalab.com/,"Domino Data Lab is a data science workbench that allows data scientists, analysts, and managers to rapidly develop and deliver models and collaborate on data-driven challenges. Teams can quickly spin up data science tools, collaborate, and maintain detailed audit trails.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Domino%20Data%20Lab&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Duality,https://dualitytech.com/,"Duality's privacy-enhancing technology utilizes homomorphic encryption to allow users to collaborate - via data analytics, database searches, AI/ML methods, and more - on sensitive data without ever having to decrypt the data.","New York,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Duality&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
WalkMe,https://www.walkme.com/,"WalkMe’s code-free platform allows organizations to accelerate their digital transformation by designing application-specific, user interfaces to help teams measure and increase user adoption and utilization on any software.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=WalkMe&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Pienso,https://pienso.com/,"A low-code, no-code platform that enables non-technical subject matter experts to train and deploy custom machine learning models on text data. With Pienso, teams can leverage AI/ML to identify time-sensitive, actionable insights from large amounts of unstructured data, without needing data scientists.","Arlington,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Pienso&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
CounterCraft,https://www.countercraftsec.com/,"CounterCraft’s cybersecurity solutions utilize innovative deception technology to provide high-fidelity attack detection and adversary misdirection, resulting in faster attack management and real-time threat intel collection needed to protect real production environments. CounterCraft is trusted by multiple US government and law enforcement agencies to provide proactive defense whether on-premise, in the cloud, or in hybrid deployments.","San Sebastian,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=CounterCraft&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Cequence,https://www.cequence.ai/,"Cequence Unified API Protection unifies API discovery, inventory tracking, compliance, dynamic testing with proven, real-time native detection and prevention against ever-evolving API attacks. Our customers trust us to protect their APIs with the most effective and adaptive defense against online fraud, business logic attacks, exploits and unintended data leakage.","Sunnyvale,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Cequence&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
TeamWorx,https://www.teamworxsecurity.com/,"Organizations are often forced to fight cyber threats alone, causing their distributed cyber teams to react to mission-critical threats without access to the integrated information and communication needed to respond decisively and effectively. Cybersecurity is a team sport with Hive-IQ -- our community-driven platform solves how teams share, collaborate, and report cybersecurity information, and then use that data to respond to cyber threats. We currently work with 200+ organizations spanning the DoD, U.S. Federal government, National Guard, state and local governments, and critical infrastructure to strengthen our collective ability to combat cyber threats, automate malware analysis, and integrate remote cyber teams.","Columbia,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=TeamWorx&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
HYAS,https://www.hyas.com/,"HYAS is a valued partner and world-leading authority on cyber adversary infrastructure and communication to that infrastructure. We help businesses see more, do more, and understand more about the nature of the threats they face, or don’t even realize they are facing, in real time. Our vision is to be the leading provider of confidence and cybersecurity that today’s businesses need to move forward in an ever-changing data environment.","Victoria,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=HYAS&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
