Company Name,Company Link,Description
Aeronics,https://venturewell.org/portfolio-item/aeronics-2/,"Developed a device that provides a safe, low-pressure supply of medical oxygen"
DayOne Response,https://venturewell.org/portfolio-item/dayone-response/,Providing people with clean drinking water after natural disasters
Dock Technologies,https://venturewell.org/portfolio-item/dock-technologies/,A patient-centric wearable providing data capture during emergency healthcare events
EMME,https://venturewell.org/portfolio-item/emme/,Improving oral contraceptive pill adherence
Hazel Technologies,https://venturewell.org/portfolio-item/hazel-technologies/,Innovation that controls produce ripeness and reduces spoilage
HM Solution,https://venturewell.org/portfolio-item/hm-solution/,Water treatment technology with a long-lasting filtering system that does not require additional chemicals
Infinite Composites Technologies,https://venturewell.org/portfolio-item/infinite-composites-technologies/,Advanced storage systems to make transporting natural gas and other fuels more economical
"Innoblative Designs, Inc.",https://venturewell.org/portfolio-item/innoblative-designs-inc/,A disposable radiofrequency ablation (RFA) probe that destroys residual cancer cells around the site of a breast cancer lumpectomy
IntelliWheels,https://venturewell.org/portfolio-item/intelliwheels/,"Ultra-lightweight, multi-geared wheels for manual wheelchairs"
Kinnos,https://venturewell.org/portfolio-item/kinnos-2/,"Innovation that provides visualization of treated regions of the protective gear, eliminating uncertainty of complete coverage"
MITO Material Solutions,https://venturewell.org/portfolio-item/mito-material-solutions/,Additive that toughens fiber-reinforced composites by one hundred percent
palmm,https://venturewell.org/portfolio-item/palmm/,Wearable device to treat palmar hyperhidrosis—excessive sweating of the hands
Pathware,https://venturewell.org/portfolio-item/pathware/,Simplifying digital pathology workflows to reducing the rate of repeat procedures
Promethean Power Systems,https://venturewell.org/portfolio-item/promethean-power-systems/,Preserving perishable foods in some of the world’s most challenging conditions
reNature,https://venturewell.org/portfolio-item/renature/,Technology to transform food waste into biostimulants and soil amendments
Rimidi Diabetes,https://venturewell.org/portfolio-item/rimidi-diabetes/,Helping patients and physicians identify and close gaps in diabetes management
Sensatek,https://venturewell.org/portfolio-item/sensatek/,Wireless monitoring system to increase efficiencies and the life of engine parts
Sintact Medical Systems,https://venturewell.org/portfolio-item/sintact-medical-systems/,Technology that ensures tissues remain separate after surgery
SmarterShade,https://venturewell.org/portfolio-item/smartershade/,Smart glass designed to selectably tint a window at the push of a button
Spine Align,https://venturewell.org/portfolio-item/spine-align/,Medical device that provides spine surgeons with real-time feedback and minimal workflow disruption during spinal corrective or alignment surgeries
