Company Name,Link,Description
Peptilogics Inc.,https://www.bio.org/events/bio-international-convention/sessions/2420133,Peptilogics engineers peptide therapeutic candidates to radically improve the treatment landscape…
Lynk Pharmaceuticals,https://www.bio.org/events/bio-international-convention/sessions/2431882,"Lynk Pharmaceuticals, a clinical-stage company with global locations, actively seeks new…"
Combined Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2429637,Combined Therapeutics Inc. (CTx) is a privately held biotechnology company developing the next…
Navignostics,https://www.bio.org/events/bio-international-convention/sessions/2429639,Our mission is to identify the ideal treatment to battle each cancer patient’s disease and reduce…
Enquyst Technologies Inc,https://www.bio.org/events/bio-international-convention/sessions/2429636,Enquyst Technologies is an early-stage biotechnology company that is disrupting the way that…
Micron Biomedical,https://www.bio.org/events/bio-international-convention/sessions/2416130,Micron Biomedical is a clinical stage company developing products that utilize a proprietary…
SaNOtize Research and Development Corp.,https://www.bio.org/events/bio-international-convention/sessions/2420058,"A clinical stage, specialty pharmaceutical company with a disruptive anti-infective platform…"
IAMA Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2416033,IAMA Therapeutics is a Series A- late preclinical-stage pharmaceutical company focused on…
Aruna Bio,https://www.bio.org/events/bio-international-convention/sessions/2416131,"Aruna’s AB126, a therapeutic exosome, is an innovative neural anti-inflammatory and neuromodulator…"
"Recce Pharmaceuticals (ASX: RCE, FSE: R9Q)",https://www.bio.org/events/bio-international-convention/sessions/2416066,"Recce Pharmaceuticals Ltd (ASX: RCE, FSE: R9Q) is developing New Classes of Synthetic Anti…"
Immunis Inc,https://www.bio.org/events/bio-international-convention/sessions/2416060,Immunis Inc is a private biotechnology company developing a novel immunomodulatory secretome…
Dxcover Limited,https://www.bio.org/events/bio-international-convention/sessions/2416095,o	Dxcover is a clinical stage liquid biopsy company developing tests for the early detection of…
Mitotherapeutix,https://www.bio.org/events/bio-international-convention/sessions/2420141,Mitotherapeutix is a preclinical stage pharmaceutical company that is focused on the development of…
Matchstick Technologies Inc,https://www.bio.org/events/bio-international-convention/sessions/2420605,"Matchstick’s premier product, PIXUL® (stands for PIXelated ULtrasound), is a sample preparation…"
Alchemab Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2416107,Alchemab has developed a highly differentiated platform which enables the identification of novel…
Zoetis,https://www.bio.org/events/bio-international-convention/sessions/2420072,"As the world’s leading animal health company, Zoetis is driven by a singular purpose: to nurture…"
"Progentec Diagnostics, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2420082,Progentec is committed to improving access and health outcomes for patients in therapeutic areas…
Merck Animal Health,https://www.bio.org/events/bio-international-convention/sessions/2420086,"At Merck, known as MSD outside of the United States and Canada, we are unified around our purpose. …"
CK Regeon Inc.,https://www.bio.org/events/bio-international-convention/sessions/2416083,CK Regeon (CKR) provides innovative approaches to develop novel small molecules which can treat…
"Inflammatory Response Research, Inc.",https://www.bio.org/events/bio-international-convention/sessions/2416038,IRR is a science-based drug development company focused on pharmaceutical products for the…
Boehringer Ingelheim Animal Health,https://www.bio.org/events/bio-international-convention/sessions/2395778,Boehringer Ingelheim Animal Health is a global leader in animal health and part of the family-owned…
Mursla Bio,https://www.bio.org/events/bio-international-convention/sessions/2416115,"- Mursla (Cambridge, UK) is an emergent techbio startup, leveraging extracellular vesicle biology…"
"Mepsgen Co., Ltd.",https://www.bio.org/events/bio-international-convention/sessions/2416146,"MEPSGEN, a biotech company founded by Dr. YongTae Kim and Dr. Robert Langer in 2019, develops and…"
Nanoscope Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2441137,Nanoscope Therapeutics is a late-stage clinical company developing an optogenetic platform to…
Energesis Pharmaceuticals,https://www.bio.org/events/bio-international-convention/sessions/2420085,Energesis Pharmaceuticals is developing a new class of highly differentiated drugs that -- unlike…
BIORCHESTRA,https://www.bio.org/events/bio-international-convention/sessions/2429653,BIORCHESTRA is a biotherapeutics company focused on degenerative and rare Central Nervous System …
Immuneering Corporation,https://www.bio.org/events/bio-international-convention/sessions/2431884,Immuneering is a clinical-stage oncology company developing medicines for broad populations of…
Snoretox Ltd,https://www.bio.org/events/bio-international-convention/sessions/2416138,"Muscle toning drug for multiple applications including sleep apnoea, cosmetics such as ectropion…"
Concarlo Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2420087,Concarlo Therapeutics is a preclinical-stage oncology company developing transformative…
OncoHost,https://www.bio.org/events/bio-international-convention/sessions/2416106,"OncoHost is a commercial-stage precision oncology company headquartered in Binyamina, Israel, and…"
Phanes Biotech Inc,https://www.bio.org/events/bio-international-convention/sessions/2424290,Presentation Description: Phanes Biotech is a  biotech  company developing novel therapies for the…
Breakpoint Therapeutics,https://www.bio.org/events/bio-international-convention/sessions/2420138,Breakpoint Therapeutics GmbH is a pre-clinical stage company dedicated to the discovery and…
KAER Biotherapeutics Corporation,https://www.bio.org/events/bio-international-convention/sessions/2441142,KAER focuses on high dose delivery of aerosolized drugs for serious and life-threatening…
