Company Name,Link,Description
Epsilogen,https://epsilogen.com,Epsilogen is a developer of an immuno-oncology company intended to develop immunoglobulin antibodies to treat cancer.
Splice Bio,https://splice.bio,Splice Bio is a biotech company based on intein technologies developed in the Muir Lab at Princeton University.
Volocopter,https://volocopter.com,Volocopter is an urban air mobility service provider that builds electric air taxis.
Wandercraft,https://wandercraft.eu,"Wandercraft develops and sells the first exoskeleton to walk self-balanced, for inpatient rehab and outpatient daily life."
Automata,https://automata.tech,Automata is a biotechnology company that provides workflow automation for the life sciences industry.
LabGenius,https://labgeni.us,LabGenius is a biopharmaceutical company developing protein therapeutics using a machine learning-driven evolution engine.
Leyden Labs,https://leydenlabs.com,Leyden Labs provides a platform that targets commonalities of viral families to protect humanity from known and future viruses.
Outsight,https://outsight.ai,"Outsight develops a revolutionary kind of sensor, a 3D Semantic Camera that brings Full Situation Awareness to Smart Machines and Cities."
Precirix,https://precirix.com,Precirix is a platform that is developing radio-immunotherapeutic drugs for cancer patients.
SparingVision,https://sparingvision.com,SparingVision is a biotechnology company focused development of genomic medicines for the treatment of blinding inherited retinal diseases.
Medlumics,https://medlumics.com,Medlumics is a startup employing biophotonic technologies to develop products that improve human living standards.
Phenix,https://wearephenix.com,PHENIX is a web and service platform specialized in the reduction of waste.
Scenic Biotech,https://scenicbiotech.com,Scenic Biotech is a developer of a genomics and immunotherapy technologies created to unlock genetic suppressors.
Tubulis,https://tubulis.com,Tubulis Technologies generates uniquely matched protein-drug conjugates.
WeMaintain,https://wemaintain.com,WeMaintain is the first B2B platform linking skilled technicians and professional customers.
ImCheck Therapeutics,https://imchecktherapeutics.com,ImCheck Therapeutics is a developing novel therapeutics that target members of the butyrophilin (BTN) super-family of checkpoint molecules.
MiroBio,https://mirobio.com,MiroBio is Harnessing the natural control mechanisms of the immune system.
7bridges,https://the7bridges.com,7bridges is an AI-powered optimization engine for businesses to scale and automate logistics and supply chains.
BotsAndUs,https://botsandus.com,BotsAndUs captures real-time insights of warehouse operations using fully autonomous robots and Artificial Intelligence.
Cognite,https://cognite.com,Cognite develops an industrial IoT data platform that enables digital transformation of heavy-asset industries.
