Company Name,Description,Location,Link
ZeroAvia,Hydrogen fuel-cell aircraft powertrain,HOLLISTERCA,https://www.zeroavia.com/
Paladin AI,Data-driven adaptive pilot training using AI,MONTREALCANADA,https://paladin.ai/
Block Aero,Blockchain based digitization of aviation assets,BANGKOKTHAILAND,https://block.aero/
Skyways,Autonomous VTOL drones for payload delivery,AUSTINTX,https://skyways.com/
AI-Redefined,Open-source framework for training AI & humans,MONTREALCANADA,https://ai-r.com/
Deepwave Digital,RF signal identification solution on the edge,PHILADELPHIAPA,https://deepwavedigital.com/
Veracity Protocol,Tamper-proof product authentication technology,NEW YORKNY,https://www.veracityprotocol.org/
SyncFab,A&D specialty parts supply chain platform secured by blockchain,SAN LEANDROCA,https://syncfab.com/
Cluster,Marketplace to hire mechanical and electrical engineers,LOS ANGELESCA,https://www.clusterinc.com/
Orbital Sidekick,Space-based oil leak detection and classification,SAN FRANCISCOCA,https://orbitalsidekick.com/
Launcher,High performance small satellite launcher,HAWTHORNECA,https://launcherspace.com/
C4 Systems,Augmented reality for pilot situational awareness,TEL AVIVISRAEL,https://www.c4systems.us/
